#dir,N-S,E-W,U-D,
#ch,f04c,f04d,f04e,
#unit,gal,gal,gal,
#const,4280,4280,4280,
20/11/02,08:41:00.00,-465530,40043,-95146,
20/11/02,08:41:00.01,-465333,39848,-95923,
20/11/02,08:41:00.02,-465277,39777,-95066,
20/11/02,08:41:00.03,-465242,39680,-95158,
20/11/02,08:41:00.04,-465523,39651,-96023,
20/11/02,08:41:00.05,-465897,39651,-97940,
20/11/02,08:41:00.06,-465931,39795,-96808,
20/11/02,08:41:00.07,-465688,39946,-94760,
20/11/02,08:41:00.08,-465456,40062,-94998,
20/11/02,08:41:00.09,-465226,40048,-96411,
20/11/02,08:41:00.10,-465280,39893,-94665,
20/11/02,08:41:00.11,-465493,39758,-91525,
20/11/02,08:41:00.12,-465516,39633,-93238,
20/11/02,08:41:00.13,-465516,39691,-93730,
20/11/02,08:41:00.14,-465593,39825,-94693,
20/11/02,08:41:00.15,-465755,39791,-94790,
20/11/02,08:41:00.16,-465710,39860,-94550,
20/11/02,08:41:00.17,-465560,39900,-94018,
20/11/02,08:41:00.18,-465463,39976,-93948,
20/11/02,08:41:00.19,-465451,39790,-94300,
20/11/02,08:41:00.20,-465533,39791,-94967,
20/11/02,08:41:00.21,-465557,39943,-95903,
20/11/02,08:41:00.22,-465507,39903,-96545,
20/11/02,08:41:00.23,-465620,39697,-95748,
20/11/02,08:41:00.24,-465506,39838,-94990,
20/11/02,08:41:00.25,-465465,40026,-94216,
20/11/02,08:41:00.26,-465292,40100,-94330,
20/11/02,08:41:00.27,-465316,40247,-92993,
20/11/02,08:41:00.28,-465488,40273,-93560,
20/11/02,08:41:00.29,-465367,40133,-93255,
20/11/02,08:41:00.30,-465443,39945,-95890,
20/11/02,08:41:00.31,-465581,39773,-96030,
20/11/02,08:41:00.32,-465510,39631,-94383,
20/11/02,08:41:00.33,-465540,39701,-92885,
20/11/02,08:41:00.34,-465676,39766,-94583,
20/11/02,08:41:00.35,-465607,39983,-95898,
20/11/02,08:41:00.36,-465425,40162,-96273,
20/11/02,08:41:00.37,-465227,40213,-99162,
